,Westbrook(Maine),Lebanon(New Hampshire),Montpelier(Vermont),Quincy(Massachusetts),Concord(New Hampshire),Warwick(Rhode Island),Biddeford(Maine),Pittsfield(Massachusetts),New Bedford(Massachusetts),Rutland(Vermont),Laconia(New Hampshire),Keene(New Hampshire),Stamford(Connecticut),Lewiston(Maine),Nashua(New Hampshire),Chelsea(Massachusetts),Worcester(Massachusetts),Buffalo(New York),Winooski(Vermont),Springfield(Massachusetts),Bridgeport(Connecticut),Portland(Maine),Burlington(Vermont),Brockton(Massachusetts),Manchester(New Hampshire),Fall River(Massachusetts),Sanford(Maine),Boston(Massachusetts),Portsmouth(New Hampshire),Newport(Rhode Island),Cambridge(Massachusetts),Augusta(Maine),New York City(New York),Hartford(Connecticut),Providence(Rhode Island),Rochester(New Hampshire),Bangor(Maine),Auburn(Maine),Albany(New York),New Haven(Connecticut)
Westbrook(Maine),0.0,228.0,324.0,204.7,140.0,290.3,36.2,404.4,281.2,309.0,138.0,227.0,483.4,55.0,198.2,181.2,256.4,937.4,388.0,328.7,450.4,12.1,393.0,226.10000000000002,167.5,271.4,55.0,189.4,95.2,306.1,189.7,98.0,740.4,361.4,272.7,130.3,214.0,54.0,469.4,424.4
Lebanon(New Hampshire),228.0,0.0,96.0,241.4,97.0,311.6,203.2,224.0,312.0,81.0,90.0,99.0,396.7,274.0,146.0,219.0,229.0,757.0,160.0,228.0,363.7,229.0,165.0,263.0,115.0,305.8,173.0,223.8,172.0,340.5,213.0,316.0,560.0,274.7,294.0,149.0,436.0,277.5,289.0,337.7
Montpelier(Vermont),324.0,96.0,0.0,337.4,193.0,407.6,299.2,252.0,408.0,109.0,186.0,195.0,492.7,370.0,242.0,315.0,325.0,785.0,64.0,324.0,459.7,325.0,69.0,359.0,211.0,401.8,269.0,319.8,268.0,436.5,309.0,412.0,588.0,370.7,390.0,245.0,532.0,373.5,317.0,433.7
Quincy(Massachusetts),204.7,241.4,337.4,0.0,154.4,85.6,168.5,235.0,80.0,322.4,196.4,177.4,310.0,250.5,95.4,23.5,88.0,768.0,401.4,158.0,277.0,206.6,406.4,25.6,128.2,70.0,157.3,21.0,109.5,104.7,28.4,295.6,571.0,188.0,68.0,144.6,408.5,248.5,300.0,245.6
Concord(New Hampshire),140.0,97.0,193.0,154.4,0.0,224.6,115.2,302.0,225.0,178.0,43.7,87.0,369.0,186.0,59.0,132.0,142.0,835.0,257.0,216.0,336.0,141.0,262.0,176.0,27.5,218.8,85.0,136.8,75.0,253.5,126.0,228.0,638.0,247.0,207.0,57.0,348.0,189.5,367.0,310.0
Warwick(Rhode Island),290.3,311.6,407.6,85.6,224.6,0.0,254.1,242.6,72.80000000000001,381.6,266.6,247.6,229.0,336.1,165.6,109.1,82.6,775.6,471.6,165.6,195.2,292.20000000000005,476.6,86.6,198.4,47.400000000000006,242.9,106.6,195.1,50.0,114.0,381.20000000000005,578.6,137.6,17.6,230.2,494.1,334.1,307.6,160.0
Biddeford(Maine),36.2,203.2,299.2,168.5,115.2,254.1,0.0,368.2,245.0,284.2,113.2,202.2,447.2,82.0,162.0,145.0,220.2,901.2,363.2,292.5,414.2,38.1,368.2,189.9,133.0,235.2,30.2,153.2,59.0,269.9,153.5,127.1,704.2,325.2,236.5,94.1,240.0,80.0,433.2,388.2
Pittsfield(Massachusetts),404.4,224.0,252.0,235.0,302.0,242.6,368.2,0.0,261.0,143.0,314.0,221.0,260.7,450.2,243.0,223.2,160.0,533.0,256.0,92.0,227.7,406.29999999999995,256.0,242.0,275.8,240.0,357.0,215.0,309.2,274.7,216.0,495.29999999999995,336.0,138.7,225.0,341.0,608.2,448.2,65.0,201.7
New Bedford(Massachusetts),281.2,312.0,408.0,80.0,225.0,72.80000000000001,245.0,261.0,0.0,393.0,267.0,248.0,290.1,327.0,166.0,100.0,114.0,794.0,472.0,182.0,256.3,283.1,477.0,60.0,198.8,25.4,233.8,93.0,186.0,60.1,99.0,372.1,597.0,175.2,55.2,221.1,485.0,325.0,326.0,221.1
Rutland(Vermont),309.0,81.0,109.0,322.4,178.0,381.6,284.2,143.0,393.0,0.0,171.0,180.0,384.7,355.0,227.0,300.0,299.0,676.0,113.0,216.0,351.7,310.0,113.0,344.0,196.0,376.0,254.0,304.8,253.0,410.7,294.0,397.0,479.0,262.7,364.0,230.0,517.0,358.5,208.0,325.7
Laconia(New Hampshire),138.0,90.0,186.0,196.4,43.7,266.6,113.2,314.0,267.0,171.0,0.0,129.0,411.0,184.0,101.0,174.0,184.0,847.0,250.0,258.0,378.0,139.0,255.0,218.0,71.0,260.8,83.0,178.8,92.0,295.5,168.0,226.0,650.0,289.0,249.0,59.0,346.0,187.5,379.0,352.0
Keene(New Hampshire),227.0,99.0,195.0,177.4,87.0,247.6,202.2,221.0,248.0,180.0,129.0,0.0,297.7,273.0,82.0,155.0,165.0,754.0,259.0,129.0,264.7,228.0,264.0,199.0,90.0,241.8,172.0,159.8,162.0,276.5,149.0,315.0,557.0,175.7,230.0,144.0,435.0,276.5,286.0,238.7
Stamford(Connecticut),483.4,396.7,492.7,310.0,369.0,229.0,447.2,260.7,290.1,384.7,411.0,297.7,0.0,529.2,310.0,302.2,227.0,793.7,497.7,168.7,39.5,485.29999999999995,497.7,311.0,342.8,264.7,436.0,294.0,388.2,230.0,299.0,574.3,596.7,122.0,242.0,408.0,687.2,527.2,325.7,69.0
Lewiston(Maine),55.0,274.0,370.0,250.5,186.0,336.1,82.0,450.2,327.0,355.0,184.0,273.0,529.2,0.0,244.0,227.0,302.2,983.2,434.0,374.5,496.2,57.5,439.0,271.9,213.5,317.2,101.0,235.2,141.0,351.9,235.5,54.0,786.2,407.2,318.5,176.1,167.0,3.5,515.2,470.2
Nashua(New Hampshire),198.2,146.0,242.0,95.4,59.0,165.6,162.0,243.0,166.0,227.0,101.0,82.0,310.0,244.0,0.0,73.0,83.0,776.0,306.0,166.0,277.0,200.0,311.0,117.0,32.8,159.8,144.0,77.8,103.0,194.5,67.0,287.0,579.0,188.0,148.0,98.0,402.0,242.0,308.0,251.0
Chelsea(Massachusetts),181.2,219.0,315.0,23.5,132.0,109.1,145.0,223.2,100.0,300.0,174.0,155.0,302.2,227.0,73.0,0.0,75.2,756.2,379.0,147.5,269.2,183.1,384.0,44.9,105.8,90.2,133.8,8.2,86.0,124.9,8.5,272.1,559.2,180.2,91.5,121.1,385.0,225.0,288.2,243.2
Worcester(Massachusetts),256.4,229.0,325.0,88.0,142.0,82.6,220.2,160.0,114.0,299.0,184.0,165.0,227.0,302.2,83.0,75.2,0.0,693.0,389.0,83.0,194.0,258.29999999999995,394.0,99.0,115.8,91.0,209.0,67.0,161.2,125.7,72.0,347.29999999999995,496.0,105.0,65.0,181.0,460.2,300.2,225.0,168.0
Buffalo(New York),937.4,757.0,785.0,768.0,835.0,775.6,901.2,533.0,794.0,676.0,847.0,754.0,793.7,983.2,776.0,756.2,693.0,0.0,789.0,625.0,760.7,939.3,789.0,775.0,808.8,773.0,890.0,748.0,842.2,807.7,749.0,1028.3,739.0,671.7,758.0,874.0,1141.2,981.2,468.0,734.7
Winooski(Vermont),388.0,160.0,64.0,401.4,257.0,471.6,363.2,256.0,472.0,113.0,250.0,259.0,497.7,434.0,306.0,379.0,389.0,789.0,0.0,329.0,464.7,389.0,5.1,423.0,275.0,465.8,333.0,383.8,332.0,500.5,373.0,476.0,592.0,375.7,454.0,309.0,596.0,437.5,321.0,438.7
Springfield(Massachusetts),328.7,228.0,324.0,158.0,216.0,165.6,292.5,92.0,182.0,216.0,258.0,129.0,168.7,374.5,166.0,147.5,83.0,625.0,329.0,0.0,135.7,330.6,329.0,166.0,198.8,160.0,281.3,142.0,233.5,194.7,139.0,419.6,428.0,46.7,148.0,264.0,532.5,372.5,157.0,109.7
Bridgeport(Connecticut),450.4,363.7,459.7,277.0,336.0,195.2,414.2,227.7,256.3,351.7,378.0,264.7,39.5,496.2,277.0,269.2,194.0,760.7,464.7,135.7,0.0,452.29999999999995,464.7,278.0,309.8,230.89999999999998,403.0,261.0,355.2,196.2,266.0,541.3,563.7,89.0,209.0,375.0,654.2,494.2,292.7,35.2
Portland(Maine),12.1,229.0,325.0,206.6,141.0,292.20000000000005,38.1,406.29999999999995,283.1,310.0,139.0,228.0,485.29999999999995,57.5,200.0,183.1,258.29999999999995,939.3,389.0,330.6,452.29999999999995,0.0,394.0,228.0,168.5,273.29999999999995,56.0,191.3,97.1,308.0,191.6,89.0,742.3,363.29999999999995,274.6,132.2,208.0,54.0,471.29999999999995,426.29999999999995
Burlington(Vermont),393.0,165.0,69.0,406.4,262.0,476.6,368.2,256.0,477.0,113.0,255.0,264.0,497.7,439.0,311.0,384.0,394.0,789.0,5.1,329.0,464.7,394.0,0.0,428.0,280.0,470.8,338.0,388.8,337.0,505.5,378.0,481.0,592.0,375.7,459.0,314.0,601.0,442.5,321.0,438.7
Brockton(Massachusetts),226.10000000000002,263.0,359.0,25.6,176.0,86.6,189.9,242.0,60.0,344.0,218.0,199.0,311.0,271.9,117.0,44.9,99.0,775.0,423.0,166.0,278.0,228.0,428.0,0.0,149.8,51.0,178.7,39.2,130.9,85.7,50.0,317.0,578.0,189.0,69.0,166.0,429.9,269.9,307.0,246.6
Manchester(New Hampshire),167.5,115.0,211.0,128.2,27.5,198.4,133.0,275.8,198.8,196.0,71.0,90.0,342.8,213.5,32.8,105.8,115.8,808.8,275.0,198.8,309.8,168.5,280.0,149.8,0.0,192.6,112.5,110.6,74.0,227.3,99.8,255.5,611.8,220.8,180.8,69.0,373.0,213.0,340.8,283.8
Fall River(Massachusetts),271.4,305.8,401.8,70.0,218.8,47.400000000000006,235.2,240.0,25.4,376.0,260.8,241.8,264.7,317.2,159.8,90.2,91.0,773.0,465.8,160.0,230.89999999999998,273.29999999999995,470.8,51.0,192.6,0.0,224.0,82.0,176.2,34.7,92.8,362.29999999999995,576.0,149.8,29.8,211.29999999999998,475.2,315.2,305.0,195.7
Sanford(Maine),55.0,173.0,269.0,157.3,85.0,242.9,30.2,357.0,233.8,254.0,83.0,172.0,436.0,101.0,144.0,133.8,209.0,890.0,333.0,281.3,403.0,56.0,338.0,178.7,112.5,224.0,0.0,142.0,47.8,258.7,142.3,143.0,693.0,314.0,225.3,82.9,263.0,104.5,422.0,377.0
Boston(Massachusetts),189.4,223.8,319.8,21.0,136.8,106.6,153.2,215.0,93.0,304.8,178.8,159.8,294.0,235.2,77.8,8.2,67.0,748.0,383.8,142.0,261.0,191.3,388.8,39.2,110.6,82.0,142.0,0.0,94.2,116.7,10.8,280.3,551.0,172.0,89.0,129.3,393.2,233.2,280.0,235.0
Portsmouth(New Hampshire),95.2,172.0,268.0,109.5,75.0,195.1,59.0,309.2,186.0,253.0,92.0,162.0,388.2,141.0,103.0,86.0,161.2,842.2,332.0,233.5,355.2,97.1,337.0,130.9,74.0,176.2,47.8,94.2,0.0,210.9,94.5,186.1,645.2,266.2,177.5,35.1,299.0,139.0,374.2,329.2
Newport(Rhode Island),306.1,340.5,436.5,104.7,253.5,50.0,269.9,274.7,60.1,410.7,295.5,276.5,230.0,351.9,194.5,124.9,125.7,807.7,500.5,194.7,196.2,308.0,505.5,85.7,227.3,34.7,258.7,116.7,210.9,0.0,127.5,397.0,610.7,181.0,61.0,246.0,509.9,349.9,339.7,161.0
Cambridge(Massachusetts),189.7,213.0,309.0,28.4,126.0,114.0,153.5,216.0,99.0,294.0,168.0,149.0,299.0,235.5,67.0,8.5,72.0,749.0,373.0,139.0,266.0,191.6,378.0,50.0,99.8,92.8,142.3,10.8,94.5,127.5,0.0,280.6,552.0,177.0,96.4,129.6,393.5,233.5,281.0,240.0
Augusta(Maine),98.0,316.0,412.0,295.6,228.0,381.20000000000005,127.1,495.29999999999995,372.1,397.0,226.0,315.0,574.3,54.0,287.0,272.1,347.29999999999995,1028.3,476.0,419.6,541.3,89.0,481.0,317.0,255.5,362.29999999999995,143.0,280.3,186.1,397.0,280.6,0.0,831.3,452.29999999999995,363.6,221.2,123.0,57.5,560.3,515.3
New York City(New York),740.4,560.0,588.0,571.0,638.0,578.6,704.2,336.0,597.0,479.0,650.0,557.0,596.7,786.2,579.0,559.2,496.0,739.0,592.0,428.0,563.7,742.3,592.0,578.0,611.8,576.0,693.0,551.0,645.2,610.7,552.0,831.3,0.0,474.7,561.0,677.0,944.2,784.2,271.0,537.7
Hartford(Connecticut),361.4,274.7,370.7,188.0,247.0,137.6,325.2,138.7,175.2,262.7,289.0,175.7,122.0,407.2,188.0,180.2,105.0,671.7,375.7,46.7,89.0,363.29999999999995,375.7,189.0,220.8,149.8,314.0,172.0,266.2,181.0,177.0,452.29999999999995,474.7,0.0,120.0,286.0,565.2,405.2,203.7,63.0
Providence(Rhode Island),272.7,294.0,390.0,68.0,207.0,17.6,236.5,225.0,55.2,364.0,249.0,230.0,242.0,318.5,148.0,91.5,65.0,758.0,454.0,148.0,209.0,274.6,459.0,69.0,180.8,29.8,225.3,89.0,177.5,61.0,96.4,363.6,561.0,120.0,0.0,212.6,476.5,316.5,290.0,177.6
Rochester(New Hampshire),130.3,149.0,245.0,144.6,57.0,230.2,94.1,341.0,221.1,230.0,59.0,144.0,408.0,176.1,98.0,121.1,181.0,874.0,309.0,264.0,375.0,132.2,314.0,166.0,69.0,211.29999999999998,82.9,129.3,35.1,246.0,129.6,221.2,677.0,286.0,212.6,0.0,334.1,174.1,406.0,349.0
Bangor(Maine),214.0,436.0,532.0,408.5,348.0,494.1,240.0,608.2,485.0,517.0,346.0,435.0,687.2,167.0,402.0,385.0,460.2,1141.2,596.0,532.5,654.2,208.0,601.0,429.9,373.0,475.2,263.0,393.2,299.0,509.9,393.5,123.0,944.2,565.2,476.5,334.1,0.0,170.5,673.2,628.2
Auburn(Maine),54.0,277.5,373.5,248.5,189.5,334.1,80.0,448.2,325.0,358.5,187.5,276.5,527.2,3.5,242.0,225.0,300.2,981.2,437.5,372.5,494.2,54.0,442.5,269.9,213.0,315.2,104.5,233.2,139.0,349.9,233.5,57.5,784.2,405.2,316.5,174.1,170.5,0.0,513.2,468.2
Albany(New York),469.4,289.0,317.0,300.0,367.0,307.6,433.2,65.0,326.0,208.0,379.0,286.0,325.7,515.2,308.0,288.2,225.0,468.0,321.0,157.0,292.7,471.29999999999995,321.0,307.0,340.8,305.0,422.0,280.0,374.2,339.7,281.0,560.3,271.0,203.7,290.0,406.0,673.2,513.2,0.0,266.7
New Haven(Connecticut),424.4,337.7,433.7,245.6,310.0,160.0,388.2,201.7,221.1,325.7,352.0,238.7,69.0,470.2,251.0,243.2,168.0,734.7,438.7,109.7,35.2,426.29999999999995,438.7,246.6,283.8,195.7,377.0,235.0,329.2,161.0,240.0,515.3,537.7,63.0,177.6,349.0,628.2,468.2,266.7,0.0
