,Auburn(Maine),Warwick(Rhode Island),Utica(New York),Troy(New York),Baltimore(Maryland),Cumberland(Maryland),Paterson(New Jersey),Biddeford(Maine),Cambridge(Massachusetts),Washington(DC),York(Pennsylvania),Pittsburgh(Pennsylvania),Quincy(Massachusetts),Middletown(New Jersey),Hagerstown(Maryland),New Haven(Connecticut),Johnstown(Pennsylvania),New Rochelle(New York),Rockville(Maryland),Fall River(Massachusetts),New Bedford(Massachusetts),Reading(Pennsylvania),Annapolis(Maryland),Stamford(Connecticut),Virginia Beach(Virginia),Westbrook(Maine),Worcester(Massachusetts),Laconia(New Hampshire),Syracuse(New York),Silver Spring(Maryland),Burlington(Vermont),Buffalo(New York),Gaithersburg(Maryland),Lebanon(New Hampshire),Bangor(Maine),Portland(Maine),Boston(Massachusetts),Salisbury(Maryland),Winooski(Vermont),Hartford(Connecticut),Allentown(Pennsylvania),Brockton(Massachusetts),Montpelier(Vermont),Concord(New Hampshire),New York City(New York),Pittsfield(Massachusetts),Wilmington-D(Delaware),Portsmouth(New Hampshire),Chelsea(Massachusetts),Binghamton(New York),Yonkers(New York),Scranton(Pennsylvania),Woodbridge(New Jersey),Providence(Rhode Island),Augusta(Maine),Dover(Delaware),Manchester(New Hampshire),Rochester(New Hampshire),Columbia(Maryland),Keene(New Hampshire),Atlantic City(New Jersey),Seaford(Delaware),Rutland(Vermont),Lewiston(Maine),Newark(New Jersey),Philadelphia(Pennsylvania),Mount Vernon(New York),Harrisburg(Pennsylvania),Nashua(New Hampshire),Tonawanda(New York),Newport(Rhode Island),Jersey City(New Jersey),Springfield(Massachusetts),Erie(Pennsylvania),Bridgeport(Connecticut),Sanford(Maine),Trenton(New Jersey),Lancaster(Pennsylvania),Albany(New York),Hamilton(New Jersey)
Virginia Beach(Virginia),1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,0.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0
Westbrook(Maine),54.0,290.3,605.0,444.0,884.5,1078.2,570.1999999999999,36.2,189.7,949.9,859.2,1169.2,204.7,634.7,969.2,424.4,1061.2,518.0999999999999,947.5,271.4,281.2,770.2,936.5,483.4,1000000000.0,0.0,256.4,138.0,686.0,937.5,393.0,920.0,955.5,228.0,214.0,12.1,189.39999999999998,943.0,388.0,361.4,714.2,226.1,324.0,140.0,553.2,404.4,765.5,95.2,181.2,676.0,530.8,747.1999999999999,599.5,272.7,98.0,847.5,167.5,130.3,918.4,227.0,762.7,906.5,309.0,55.0,582.2,714.5,523.2,847.2,198.2,916.0,306.1,565.7,328.7,1072.0,450.4,55.0,659.5,822.2,458.8,655.7
Worcester(Massachusetts),300.2,82.6,380.0,239.8,628.1,821.8,313.79999999999995,220.2,72.0,693.5,602.8,912.8,88.0,378.3,712.8,168.0,804.8,261.7,691.1,91.0,114.0,513.8,680.1,227.0,1000000000.0,256.4,0.0,184.0,461.0,681.1,394.0,693.0,699.1,229.0,460.2,258.3,67.0,686.6,389.0,105.0,457.8,99.0,325.0,142.0,296.8,160.0,509.1,161.2,75.2,451.0,274.4,490.79999999999995,343.1,65.0,347.3,591.1,115.8,181.0,662.0,165.0,506.3,650.1,299.0,302.2,325.8,458.1,266.8,590.8,83.0,691.0,125.7,309.3,83.0,845.0,194.0,209.0,403.1,565.8,225.0,399.3
Laconia(New Hampshire),187.5,266.6,467.0,306.0,812.1,1005.8,497.79999999999995,113.2,168.0,877.5,786.8,1096.8,196.4,562.3,896.8,352.0,988.8,445.7,875.1,260.8,267.0,697.8,864.1,411.0,1000000000.0,138.0,184.0,0.0,548.0,865.1,255.0,782.0,883.1,90.0,346.0,139.0,178.8,870.6,250.0,289.0,641.8,218.0,186.0,43.7,480.8,314.0,693.1,92.0,174.0,538.0,458.4,633.0,527.1,249.0,226.0,775.1,71.0,59.0,846.0,129.0,690.3,834.1,171.0,184.0,509.8,642.1,450.8,774.8,101.0,778.0,295.5,493.3,258.0,934.0,378.0,83.0,587.1,749.8,320.8,583.3
Syracuse(New York),735.5,543.6,89.0,242.0,535.2,641.0,391.0,661.2,517.0,600.6,450.2,604.0,536.0,474.0,532.0,502.7,589.0,410.0,598.2,541.0,562.0,373.0,587.2,444.7,1000000000.0,686.0,461.0,548.0,0.0,588.2,490.0,246.0,606.2,458.0,894.0,687.0,516.0,642.5,490.0,439.7,336.0,543.0,486.0,555.0,421.0,301.0,465.0,610.2,524.2,119.0,398.0,214.0,441.0,526.0,774.0,547.0,573.0,607.0,569.1,522.0,514.0,606.0,377.0,732.0,416.3,414.0,405.7,410.0,544.0,242.0,575.7,432.8,393.0,398.0,484.2,631.0,430.0,427.0,236.0,444.3
Silver Spring(Maryland),981.3,683.1,629.2,658.4,53.0,206.0,378.0,901.3,753.1,12.4,138.0,377.0,764.1,372.0,102.0,523.1,313.0,419.4,21.9,718.8,744.2,230.0,55.0,454.1,1000000000.0,937.5,681.1,865.1,588.2,0.0,906.4,735.0,33.5,850.8,1141.3,939.4,748.1,192.0,906.4,576.1,283.0,765.1,902.4,823.1,384.3,712.4,172.0,842.3,756.3,469.2,417.4,374.2,338.0,696.1,1028.4,230.0,796.9,862.1,38.9,751.8,301.0,170.0,793.4,983.3,365.0,223.0,420.2,178.2,764.1,754.7,684.1,371.8,622.8,583.0,493.6,890.0999999999999,278.0,180.1,647.4,292.3
Burlington(Vermont),442.5,476.6,409.0,248.0,853.4,1002.0,528.4,368.2,378.0,918.8,811.2,1052.0,406.4,604.5,893.0,438.7,950.0,490.0,916.4,470.8,477.0,730.4,905.4,497.7,1000000000.0,393.0,394.0,255.0,490.0,906.4,0.0,724.0,924.4,165.0,601.0,394.0,388.8,911.9,5.1,375.7,674.4,428.0,69.0,262.0,523.0,256.0,734.4,337.0,384.0,480.0,489.0,575.0,569.3,459.0,481.0,816.4,280.0,314.0,887.3,264.0,732.5,875.4,113.0,439.0,552.0,683.4,493.0,771.0,311.0,720.0,505.5,535.5,329.0,876.0,464.7,338.0,628.4,782.4,262.8,625.5
Buffalo(New York),969.5,775.6,323.0,476.0,736.2,529.0,592.0,895.2,749.0,747.4,651.2,358.0,768.0,675.0,638.0,714.7,435.0,611.0,716.0,773.0,794.0,574.0,784.0,645.7,1000000000.0,920.0,693.0,782.0,246.0,735.0,724.0,0.0,708.0,692.0,1128.0,921.0,748.0,843.5,724.0,671.7,537.0,775.0,720.0,789.0,626.0,533.0,666.0,842.2,756.2,320.0,603.0,415.0,642.0,758.0,1008.0,748.0,807.0,841.0,739.0,754.0,715.0,807.0,611.0,966.0,617.3,615.0,608.0,611.0,776.0,19.7,807.7,633.8,625.0,152.0,685.2,865.0,631.0,628.0,468.0,645.3
Gaithersburg(Maryland),999.3,701.1,647.2,676.4,71.0,179.0,396.0,919.3,771.1,43.3,156.0,350.0,782.1,390.0,77.0,541.1,286.0,437.4,11.6,736.8,762.2,248.0,81.0,472.1,1000000000.0,955.5,699.1,883.1,606.2,33.5,924.4,708.0,0.0,868.8,1159.3,957.4,766.1,218.0,924.4,594.1,301.0,783.1,920.4,841.1,402.3,730.4,190.0,860.3,774.3,487.2,435.4,392.2,356.0,714.1,1046.4,256.0,814.9,880.1,48.0,769.8,319.0,196.0,811.4,1001.3,383.0,241.0,438.2,196.2,782.1,727.7,702.1,389.8,640.8,556.0,511.6,908.0999999999999,296.0,198.1,665.4,310.3
Lebanon(New Hampshire),277.5,311.6,377.0,216.0,797.8,970.0,483.5,203.2,213.0,863.1999999999999,772.5,1020.0,241.4,548.0,861.0,337.7,918.0,431.4,860.8,305.8,312.0,683.5,849.8,396.7,1000000000.0,228.0,229.0,90.0,458.0,850.8,165.0,692.0,868.8,0.0,436.0,229.0,223.8,856.3,160.0,274.7,627.5,263.0,96.0,97.0,466.5,224.0,678.8,172.0,219.0,448.0,444.1,543.0,512.8,294.0,316.0,760.8,115.0,149.0,831.6999999999999,99.0,676.0,819.8,81.0,274.0,495.5,627.8,436.5,739.0,146.0,688.0,340.5,479.0,228.0,844.0,363.7,173.0,572.8,735.5,230.8,569.0
Bangor(Maine),170.5,494.1,813.0,652.0,1088.3,1282.0,774.0,240.0,393.5,1153.6999999999998,1063.0,1373.0,408.5,838.5,1173.0,628.2,1265.0,721.9,1151.3,475.2,485.0,974.0,1140.3,687.2,1000000000.0,214.0,460.2,346.0,894.0,1141.3,601.0,1128.0,1159.3,436.0,0.0,208.0,393.2,1146.8,596.0,565.2,918.0,429.9,532.0,348.0,757.0,608.2,969.3,299.0,385.0,884.0,734.6,951.0,803.3,476.5,123.0,1051.3,373.0,334.1,1122.1999999999998,435.0,966.5,1110.3,517.0,167.0,786.0,918.3,727.0,1051.0,402.0,1124.0,509.9,769.5,532.5,1280.0,654.2,263.0,863.3,1026.0,666.8,859.5
Portland(Maine),54.0,292.20000000000005,606.0,445.0,886.4,1080.1,572.1,38.1,191.6,951.8,861.1,1171.1,206.6,636.6,971.1,426.29999999999995,1063.1,520.0,949.4,273.3,283.1,772.1,938.4,485.29999999999995,1000000000.0,12.1,258.3,139.0,687.0,939.4,394.0,921.0,957.4,229.0,208.0,0.0,191.29999999999998,944.9,389.0,363.29999999999995,716.1,228.0,325.0,141.0,555.1,406.29999999999995,767.4,97.1,183.1,677.0,532.7,749.1,601.4,274.6,89.0,849.4,168.5,132.2,920.3,228.0,764.6,908.4,310.0,57.5,584.1,716.4,525.1,849.1,200.0,917.0,308.0,567.6,330.6,1073.0,452.29999999999995,56.0,661.4,824.1,459.8,657.6
Boston(Massachusetts),233.2,106.6,435.0,294.8,695.1,888.8,380.79999999999995,153.2,10.8,760.5,669.8,979.8,21.0,445.3,779.8,235.0,871.8,328.7,758.1,82.0,93.0,580.8,747.1,294.0,1000000000.0,189.39999999999998,67.0,178.8,516.0,748.1,388.8,748.0,766.1,223.8,393.2,191.29999999999998,0.0,753.6,383.8,172.0,524.8,39.2,319.8,136.8,363.8,215.0,576.1,94.2,8.2,506.0,341.4,557.8,410.1,89.0,280.3,658.1,110.6,129.29999999999998,729.0,159.8,573.3,717.1,304.8,235.2,392.8,525.1,333.8,657.8,77.8,746.0,116.7,376.3,142.0,900.0,261.0,142.0,470.1,632.8,280.0,466.3
Salisbury(Maryland),986.8,688.6,683.5,663.9,179.0,383.0,383.5,906.8,758.6,204.4,264.0,554.0,769.6,377.5,280.0,528.6,490.0,424.9,209.0,724.3,749.7,330.5,143.0,459.6,1000000000.0,943.0,686.6,870.6,642.5,192.0,911.9,843.5,218.0,856.3,1146.8,944.9,753.6,0.0,911.9,581.6,328.5,770.6,907.9,828.6,389.8,717.9,177.5,847.8,761.8,523.5,422.9,428.5,343.5,701.6,1033.9,96.5,802.4,867.6,189.0,757.3,306.5,36.5,798.9,988.8,370.5,228.5,425.7,304.2,769.6,861.5,689.6,377.3,628.3,760.0,499.1,895.5999999999999,283.5,306.1,652.9,297.8
Winooski(Vermont),437.5,471.6,409.0,248.0,853.4,1002.0,528.4,363.2,373.0,918.8,811.2,1052.0,401.4,604.5,893.0,438.7,950.0,490.0,916.4,465.8,472.0,730.4,905.4,497.7,1000000000.0,388.0,389.0,250.0,490.0,906.4,5.1,724.0,924.4,160.0,596.0,389.0,383.8,911.9,0.0,375.7,674.4,423.0,64.0,257.0,523.0,256.0,734.4,332.0,379.0,480.0,489.0,575.0,569.3,454.0,476.0,816.4,275.0,309.0,887.3,259.0,732.5,875.4,113.0,434.0,552.0,683.4,493.0,771.0,306.0,720.0,500.5,535.5,329.0,876.0,464.7,333.0,628.4,782.4,262.8,625.5
Hartford(Connecticut),405.2,137.6,358.7,218.5,523.1,716.8,208.8,325.2,177.0,588.5,497.8,807.8,188.0,273.3,607.8,63.0,699.8,156.7,586.1,149.8,175.2,408.8,575.1,122.0,1000000000.0,361.4,105.0,289.0,439.7,576.1,375.7,671.7,594.1,274.7,565.2,363.29999999999995,172.0,581.6,375.7,0.0,352.8,189.0,370.7,247.0,191.8,138.7,404.1,266.2,180.2,429.7,169.4,385.8,238.10000000000002,120.0,452.3,486.1,220.8,286.0,557.0,175.7,401.3,545.1,262.7,407.2,220.8,353.1,161.8,485.8,188.0,669.7,181.0,204.3,46.7,823.7,89.0,314.0,298.1,460.8,203.7,294.3
Allentown(Pennsylvania),758.0,459.8,377.0,426.4,230.0,364.0,146.0,678.0,529.8,295.4,145.0,455.0,540.8,188.0,255.0,299.8,347.0,196.1,293.0,495.5,520.9000000000001,56.0,282.0,230.8,1000000000.0,714.2,457.8,641.8,336.0,283.0,674.4,537.0,301.0,627.5,918.0,716.1,524.8,328.5,674.4,352.8,0.0,541.8,670.4,599.8,161.0,480.4,151.0,619.0,533.0,217.0,185.4,122.0,154.0,472.8,805.1,233.0,573.6,638.8,263.9,528.5,200.0,292.0,561.4,760.0,132.0,100.0,193.1,133.0,540.8,555.0,460.8,148.5,399.5,598.0,270.3,666.8,94.0,108.0,415.4,108.3
Brockton(Massachusetts),269.9,86.6,462.0,321.8,712.1,905.8,397.79999999999995,189.9,50.0,777.5,686.8,996.8,25.6,462.3,796.8,246.6,888.8,345.7,775.1,51.0,60.0,597.8,764.1,311.0,1000000000.0,226.1,99.0,218.0,543.0,765.1,428.0,775.0,783.1,263.0,429.9,228.0,39.2,770.6,423.0,189.0,541.8,0.0,359.0,176.0,380.8,242.0,593.1,130.9,44.9,533.0,358.4,574.8,427.1,69.0,317.0,675.1,149.8,166.0,746.0,199.0,590.3,734.1,344.0,271.9,409.8,542.1,350.8,674.8,117.0,773.0,85.7,393.3,166.0,927.0,278.0,178.70000000000002,487.1,649.8,307.0,483.3
Montpelier(Vermont),373.5,407.6,405.0,244.0,849.4,998.0,524.4,299.2,309.0,914.8,807.2,1048.0,337.4,600.5,889.0,433.7,946.0,486.0,912.4,401.8,408.0,726.4,901.4,492.7,1000000000.0,324.0,325.0,186.0,486.0,902.4,69.0,720.0,920.4,96.0,532.0,325.0,319.8,907.9,64.0,370.7,670.4,359.0,0.0,193.0,519.0,252.0,730.4,268.0,315.0,476.0,485.0,571.0,565.3,390.0,412.0,812.4,211.0,245.0,883.3,195.0,728.5,871.4,109.0,370.0,548.0,679.4,489.0,767.0,242.0,716.0,436.5,531.5,324.0,872.0,459.7,269.0,624.4,778.4,258.8,621.5
Concord(New Hampshire),189.5,224.6,474.0,313.0,770.1,963.8,455.79999999999995,115.2,126.0,835.5,744.8,1054.8,154.4,520.3,854.8,310.0,946.8,403.7,833.1,218.8,225.0,655.8,822.1,369.0,1000000000.0,140.0,142.0,43.7,555.0,823.1,262.0,789.0,841.1,97.0,348.0,141.0,136.8,828.6,257.0,247.0,599.8,176.0,193.0,0.0,438.8,302.0,651.1,75.0,132.0,545.0,416.4,632.8,485.1,207.0,228.0,733.1,27.5,57.0,804.0,87.0,648.3,792.1,178.0,186.0,467.8,600.1,408.8,732.8,59.0,785.0,253.5,451.3,216.0,941.0,336.0,85.0,545.1,707.8,327.8,541.3
New York City(New York),597.0,298.8,386.2,275.0,331.3,525.0,36.3,517.0,368.8,396.7,306.0,616.0,379.8,81.5,416.0,138.8,508.0,35.1,394.3,334.5,359.90000000000003,217.0,383.3,69.80000000000001,1000000000.0,553.2,296.8,480.8,421.0,384.3,523.0,626.0,402.3,466.5,757.0,555.1,363.8,389.8,523.0,191.8,161.0,380.8,519.0,438.8,0.0,329.2,212.3,458.0,372.0,306.0,34.2,213.3,46.3,311.8,644.1,294.3,412.6,477.8,365.2,367.5,209.5,353.3,410.0,599.0,29.0,161.3,35.9,294.0,379.8,644.0,299.8,12.5,238.5,731.3,109.30000000000001,505.8,106.3,269.0,264.2,102.5
Pittsfield(Massachusetts),448.2,242.6,220.0,79.8,659.4,813.0,334.4,368.2,216.0,724.8,622.2,863.0,235.0,410.7,704.0,201.7,761.0,295.4,722.4,240.0,261.0,536.4,711.4,260.7,1000000000.0,404.4,160.0,314.0,301.0,712.4,256.0,533.0,730.4,224.0,608.2,406.29999999999995,215.0,717.9,256.0,138.7,480.4,242.0,252.0,302.0,329.2,0.0,540.4,309.2,223.2,291.0,295.0,386.0,375.5,225.0,495.3,622.4,275.8,341.0,693.3,221.0,538.7,681.4,143.0,450.2,358.2,489.4,300.5,582.0,243.0,531.0,274.7,341.7,92.0,685.0,227.7,357.0,434.4,588.4,65.0,431.7
Wilmington-D(Delaware),809.3,511.1,506.0,486.4,119.0,347.0,206.0,729.3,581.1,184.4,204.0,518.0,592.1,200.0,238.0,351.1,435.0,247.4,182.0,546.8,572.2,153.0,171.0,282.1,1000000000.0,765.5,509.1,693.1,465.0,172.0,734.4,666.0,190.0,678.8,969.3,767.4,576.1,177.5,734.4,404.1,151.0,593.1,730.4,651.1,212.3,540.4,0.0,670.3,584.3,346.0,245.4,251.0,166.0,524.1,856.4,82.0,624.9,690.1,152.9,579.8,129.0,141.0,621.4,811.3,193.0,51.0,248.2,221.0,592.1,684.0,512.1,199.8,450.8,696.0,321.6,718.0999999999999,106.0,179.0,475.4,120.3
Portsmouth(New Hampshire),139.0,195.1,529.2,388.0,789.3,983.0,475.0,59.0,94.5,854.6999999999999,764.0,1074.0,109.5,539.5,874.0,329.2,966.0,422.9,852.3,176.2,186.0,675.0,841.3,388.2,1000000000.0,95.2,161.2,92.0,610.2,842.3,337.0,842.2,860.3,172.0,299.0,97.1,94.2,847.8,332.0,266.2,619.0,130.9,268.0,75.0,458.0,309.2,670.3,0.0,86.0,600.2,435.6,652.0,504.3,177.5,186.1,752.3,74.0,35.1,823.1999999999999,162.0,667.5,811.3,253.0,141.0,487.0,619.3,428.0,752.0,103.0,840.2,210.9,470.5,233.5,994.2,355.2,47.8,564.3,727.0,374.2,560.5
Chelsea(Massachusetts),225.0,109.1,443.2,303.0,703.3,897.0,389.0,145.0,8.5,768.7,678.0,988.0,23.5,453.5,788.0,243.2,880.0,336.9,766.3,90.2,100.0,589.0,755.3,302.2,1000000000.0,181.2,75.2,174.0,524.2,756.3,384.0,756.2,774.3,219.0,385.0,183.1,8.2,761.8,379.0,180.2,533.0,44.9,315.0,132.0,372.0,223.2,584.3,86.0,0.0,514.2,349.6,566.0,418.3,91.5,272.1,666.3,105.8,121.1,737.2,155.0,581.5,725.3,300.0,227.0,401.0,533.3,342.0,666.0,73.0,754.2,124.9,384.5,147.5,908.2,269.2,133.8,478.3,641.0,288.2,474.5
Binghamton(New York),725.5,533.6,160.0,232.0,416.2,522.0,272.0,651.2,507.0,481.6,331.2,572.0,526.0,355.0,413.0,394.7,470.0,291.0,479.2,531.0,552.0,254.0,468.2,325.7,1000000000.0,676.0,451.0,538.0,119.0,469.2,480.0,320.0,487.2,448.0,884.0,677.0,506.0,523.5,480.0,429.7,217.0,533.0,476.0,545.0,306.0,291.0,346.0,600.2,514.2,0.0,283.0,95.0,322.0,516.0,764.0,428.0,563.0,597.0,450.1,512.0,395.0,487.0,367.0,722.0,297.3,295.0,288.0,291.0,534.0,338.0,555.7,313.8,383.0,426.0,365.2,621.0,311.0,308.0,226.0,325.3
Yonkers(New York),574.6,276.4,352.0,241.0,364.4,549.4,39.4,494.6,346.4,429.79999999999995,330.4,640.4,357.4,115.7,440.4,116.4,532.4,12.7,427.4,312.09999999999997,337.5,241.4,416.4,47.400000000000006,1000000000.0,530.8,274.4,458.4,398.0,417.4,489.0,603.0,435.4,444.1,734.6,532.7,341.4,422.9,489.0,169.4,185.4,358.4,485.0,416.4,34.2,295.0,245.4,435.6,349.6,283.0,0.0,216.4,80.5,289.4,621.7,327.4,390.2,455.4,398.29999999999995,345.1,243.7,386.4,376.0,576.6,63.2,194.4,7.7,318.4,357.4,621.0,277.4,46.7,216.10000000000002,709.0,86.9,483.40000000000003,139.4,293.4,230.0,136.7
Scranton(Pennsylvania),791.0,492.79999999999995,255.0,327.0,321.2,427.0,177.0,711.0,562.8,386.6,236.2,477.0,573.8,260.0,318.0,332.8,375.0,229.1,384.2,528.5,553.9,159.0,373.2,263.8,1000000000.0,747.1999999999999,490.79999999999995,633.0,214.0,374.2,575.0,415.0,392.2,543.0,951.0,749.1,557.8,428.5,575.0,385.8,122.0,574.8,571.0,632.8,213.3,386.0,251.0,652.0,566.0,95.0,216.4,0.0,227.0,505.79999999999995,838.1,333.0,606.5999999999999,671.8,355.1,561.5,300.0,392.0,462.0,793.0,202.3,200.0,224.1,196.0,573.8,433.0,493.79999999999995,218.8,432.5,518.0,303.3,699.8000000000001,216.0,213.0,321.0,230.3
