,Albany(New York),Biddeford(Maine),Manchester(New Hampshire),New York City(New York),Middletown(New Jersey),Baltimore(Maryland),Portsmouth(New Hampshire),Wilmington-D(Delaware),Silver Spring(Maryland),Sanford(Maine),Providence(Rhode Island),Brockton(Massachusetts),Virginia Beach(Virginia),Lewiston(Maine),Newport(Rhode Island),Seaford(Delaware),Bangor(Maine),Winooski(Vermont),Hartford(Connecticut),Cumberland(Maryland),Pittsburgh(Pennsylvania),Concord(New Hampshire),Utica(New York),Tonawanda(New York),Portland(Maine),Johnstown(Pennsylvania),Syracuse(New York),Bridgeport(Connecticut),Montpelier(Vermont),Hamilton(New Jersey),Gaithersburg(Maryland),Washington(DC),Columbia(Maryland),Rochester(New Hampshire),Reading(Pennsylvania),Rutland(Vermont),Mount Vernon(New York),Salisbury(Maryland),Fall River(Massachusetts),Yonkers(New York),Worcester(Massachusetts),Trenton(New Jersey),Erie(Pennsylvania),Springfield(Massachusetts),Stamford(Connecticut),Rockville(Maryland),New Rochelle(New York),Annapolis(Maryland),York(Pennsylvania),Binghamton(New York),Lancaster(Pennsylvania),Buffalo(New York),Keene(New Hampshire),Burlington(Vermont),Quincy(Massachusetts),Augusta(Maine),Auburn(Maine),Laconia(New Hampshire),Allentown(Pennsylvania),Hagerstown(Maryland),Troy(New York),Scranton(Pennsylvania),Pittsfield(Massachusetts),Lebanon(New Hampshire),Warwick(Rhode Island),Westbrook(Maine),Dover(Delaware),Paterson(New Jersey),Newark(New Jersey),Jersey City(New Jersey),Chelsea(Massachusetts),Nashua(New Hampshire),Philadelphia(Pennsylvania),Woodbridge(New Jersey),Boston(Massachusetts),Cambridge(Massachusetts),New Haven(Connecticut),Harrisburg(Pennsylvania),Atlantic City(New Jersey),New Bedford(Massachusetts)
Syracuse(New York),0.0,0.8532609,0.9027778,0.8189021,0.7480565,0.81843936,0.0,0.75848186,0.8726852,0.7663332,0.9027778,0.865846,0.83078617,0.9027778,0.8135266,0.8734668,0.865846,0.0,0.8130568,0.79433244,0.828854,0.0,0.7447917,0.78930086,0.76064086,0.8769841,0.0,0.9027778,0.6540454,0.75883526,0.8492318,0.88359374,0.78532666,0.8057131,0.9027778,0.77715844,0.9027778,0.8769841,0.8734668,0.8679337,0.80614877,0.9027778,0.8645066,0.8769841,0.66053694,0.76241213,0.81568986,0.77222407,0.76824427,0.8053936,0.8266059,0.8060516,0.76863086,0.84046197,0.68175834,0.82192236,0.8769841,0.9027778,0.83254784,0.8608631,0.8537138,0.8284487,0.71344423,0.8734668,0.8048525,0.7920855,0.9027778,0.8542164,0.8734668,0.9027778,0.9027778,0.8706164,0.8166226,0.82123023,0.8734668,0.86159843,0.0,0.83839476,0.86846614,0.7663332
Bridgeport(Connecticut),0.0,0.8476206,1.0,0.89154136,0.8286164,0.90657896,0.0,0.84016454,0.96666664,0.8488614,1.0,0.9590909,0.9202554,1.0,0.875,0.96753246,0.9590909,0.0,0.8393008,0.8798759,0.91811514,0.0,0.825,0.8627534,0.842556,0.9714286,0.9027778,0.0,0.7191532,0.8405559,0.9245614,0.88860625,0.8699003,0.8924822,1.0,0.8608524,1.0,0.9714286,0.96753246,0.9614035,0.8929648,1.0,0.9576073,0.9714286,0.7304478,0.84451807,0.86277705,0.8553866,0.85097826,0.8921283,0.915625,0.89285713,0.81300145,0.8605285,0.73807377,0.87993896,0.9714286,1.0,0.9222068,0.95357144,0.9456522,0.91766626,0.7902767,0.96753246,0.8502589,0.87738705,1.0,0.9462089,0.96753246,1.0,1.0,0.964375,0.9045666,0.9096704,0.96753246,0.95438594,0.0,0.9286834,0.9619932,0.8488614
Montpelier(Vermont),0.0,0.76652455,0.7191532,0.6853669,0.59590214,0.6519692,0.0,0.60420704,0.6951814,0.6925727,0.7191532,0.6897333,0.6618047,0.7191532,0.62925905,0.7164744,0.6897333,0.0,0.6490057,0.6704821,0.6602655,0.0,0.5933014,0.66853917,0.6310105,0.698606,0.6540454,0.7191532,0.0,0.6983198,0.7107508,0.68311054,0.6264034,0.74145925,0.7191532,0.6190848,0.7191532,0.698606,0.7164744,0.6913964,0.6421785,0.7191532,0.6886664,0.698606,0.63950425,0.6299343,0.73277277,0.6334285,0.6942998,0.64157695,0.6584747,0.6421011,0.6904974,0.7781975,0.6600499,0.79575086,0.698606,0.7191532,0.75927895,0.68576396,0.6800688,0.76238173,0.56833005,0.7164744,0.66052943,0.6309757,0.7191532,0.68046916,0.7164744,0.7191532,0.7191532,0.6935334,0.650522,0.69242716,0.7164744,0.7336783,0.0,0.66786563,0.6918205,0.6925727
Hamilton(New Jersey),0.0,0.8453298,0.8405559,0.75582844,0.72173196,0.7620303,0.0,0.7062053,0.8125374,0.82049125,0.8405559,0.8061695,0.77352613,0.8405559,0.78328377,0.81326514,0.8061695,0.0,0.8370449,0.73958486,0.8277479,0.0,0.6934586,0.81258804,0.7082154,0.81654006,0.75883526,0.8405559,0.6983198,0.0,0.78382206,0.770224,0.7311998,0.9418182,0.8405559,0.7235946,0.8405559,0.81654006,0.81326514,0.80811346,0.75545454,0.8405559,0.8049225,0.81654006,0.70525074,0.74628353,0.80810803,0.751438,0.8184503,0.7498838,0.769634,0.7504964,0.7918949,0.8582028,0.7279087,0.8775608,0.81654006,0.8405559,0.8373393,0.8015301,0.79487354,0.9159713,0.6642718,0.81326514,0.71469015,0.73749286,0.8405559,0.7953415,0.81326514,0.8405559,0.8405559,0.8106111,0.7603388,0.7646288,0.81326514,0.80910665,0.0,0.7806103,0.8086091,0.82049125
Gaithersburg(Maryland),0.0,0.8836206,0.9245614,0.96428573,0.7661067,0.8381879,0.0,0.7767837,0.8937426,0.853847,0.9245614,0.8867384,0.87351996,0.9245614,0.80899125,0.946034,0.8867384,0.0,0.88438606,0.8266123,0.8488538,0.0,0.7627631,0.85854596,0.79280305,0.8981453,0.8492318,0.9245614,0.7107508,0.78382206,0.0,0.9611111,0.85195637,0.8322435,0.9245614,0.7959109,0.9245614,0.8981453,0.946034,0.88887656,0.82560074,0.9245614,0.88536674,0.8981453,0.71780515,0.81081754,0.8447128,0.83638006,0.8559762,0.8248274,0.8465515,0.8255012,0.7959794,0.8970768,0.7408665,0.8931826,0.8981453,0.9245614,0.93608654,0.8816353,0.8743135,0.8557278,0.7501422,0.946034,0.8669766,0.8111982,0.9245614,0.8748282,0.946034,0.9245614,0.9245614,0.8916239,0.8363273,0.8410461,0.946034,0.96875,0.0,0.8586248,0.88942176,0.853847
Washington(DC),0.0,0.84925765,0.88860625,0.92678577,0.7363137,0.8055917,0.0,0.7465755,0.85898596,0.8468235,0.88860625,0.85225415,0.8395498,0.88860625,0.77996796,0.9092438,0.85225415,0.0,0.9201704,0.79446626,0.81584287,0.0,0.75757575,0.8932848,0.76197183,0.8632175,0.88359374,0.88860625,0.68311054,0.770224,0.9611111,0.0,0.8864286,0.79987854,0.88860625,0.7649588,0.88860625,0.8632175,0.9092438,0.85430914,0.7934941,0.88860625,0.8509358,0.8632175,0.6898905,0.7792858,0.8118629,0.8260621,0.844717,0.7927508,0.81363004,0.79339844,0.76502466,0.8621905,0.712055,0.85844773,0.8632175,0.88860625,0.89968324,0.8473495,0.8403124,0.8224495,0.72097003,0.9092438,0.8332609,0.7796516,0.88860625,0.84080714,0.9092438,0.88860625,0.88860625,0.8569496,0.8038035,0.80833876,0.9092438,0.9310764,0.0,0.8252339,0.8548332,0.8468235
Columbia(Maryland),0.0,0.75827354,0.8699003,0.8215294,0.72081363,0.7886333,0.0,0.7308594,0.8409036,0.75251776,0.8699003,0.83431345,0.80053043,0.8699003,0.76116276,0.8742857,0.83431345,0.0,0.81566536,0.7654043,0.7986686,0.0,0.7176677,0.79183316,0.7329397,0.87833333,0.78532666,0.8699003,0.6264034,0.7311998,0.85195637,0.8864286,0.0,0.7763705,0.8699003,0.74885577,0.8699003,0.87833333,0.8742857,0.83632517,0.7767903,0.8699003,0.8330229,0.87833333,0.63541675,0.7346465,0.7796262,0.772948,0.7543943,0.80663264,0.7965024,0.8008333,0.73464775,0.7698208,0.65294504,0.78718525,0.87833333,0.8699003,0.82499766,0.82951206,0.82262313,0.79827815,0.7176843,0.8742857,0.7396405,0.76323926,0.8699003,0.82310736,0.8742857,0.8699003,0.8699003,0.8389101,0.81787896,0.8040726,0.8742857,0.8537848,0.0,0.807862,0.8368382,0.75251776
Rochester(New Hampshire),0.0,0.897551,0.8924822,0.8025206,0.7663177,0.8091056,0.0,0.7498319,0.86273277,0.871178,0.8924822,0.8559716,0.8213116,0.8924822,0.78092194,0.86350554,0.8559716,0.0,0.8017363,0.7852736,0.81940144,0.0,0.73629785,0.7783111,0.75196624,0.86698276,0.8057131,0.8924822,0.74145925,0.9418182,0.8322435,0.79987854,0.7763705,0.0,0.8924822,0.76829547,0.8924822,0.86698276,0.86350554,0.8580355,0.79695517,0.8924822,0.8546475,0.86698276,0.7488184,0.79238594,0.8580298,0.76341736,0.86901087,0.7962086,0.817179,0.79685915,0.84081507,0.91121924,0.7728761,0.9317731,0.86698276,0.8924822,0.8890669,0.85104555,0.84397775,0.9725564,0.7053079,0.86350554,0.7588409,0.7830523,0.8924822,0.8444746,0.86350554,0.8924822,0.8924822,0.86068755,0.80730957,0.8118647,0.86350554,0.8590901,0.0,0.8288334,0.8585618,0.871178
Reading(Pennsylvania),0.0,0.8476206,1.0,0.89154136,0.8286164,0.90657896,0.0,0.84016454,0.96666664,0.8488614,1.0,0.9590909,0.9202554,1.0,0.875,0.96753246,0.9590909,0.0,0.8393008,0.8798759,0.91811514,0.0,0.825,0.8627534,0.842556,0.9714286,0.9027778,1.0,0.7191532,0.8405559,0.9245614,0.88860625,0.8699003,0.8924822,0.0,0.8608524,1.0,0.9714286,0.96753246,0.9614035,0.8929648,1.0,0.9576073,0.9714286,0.7304478,0.84451807,0.86277705,0.8553866,0.85097826,0.8921283,0.915625,0.89285713,0.81300145,0.8605285,0.73807377,0.87993896,0.9714286,1.0,0.9222068,0.95357144,0.9456522,0.91766626,0.7902767,0.96753246,0.8502589,0.87738705,1.0,0.9462089,0.96753246,1.0,1.0,0.964375,0.9045666,0.9096704,0.96753246,0.95438594,0.0,0.9286834,0.9619932,0.8488614
Rutland(Vermont),0.0,0.72967625,0.8608524,0.7674855,0.71331644,0.9495614,0.0,0.72325766,0.8321573,0.80014515,0.8608524,0.8561508,0.7922041,0.8608524,0.7532459,0.83290267,0.8561508,0.0,0.7363655,0.7574433,0.79036164,0.0,0.71020323,0.7427033,0.72531635,0.8362566,0.77715844,0.8608524,0.6190848,0.7235946,0.7959109,0.7649588,0.74885577,0.76829547,0.8608524,0.0,0.8608524,0.8362566,0.83290267,0.8276265,0.78508306,0.8608524,0.8243586,0.8362566,0.7291842,0.79194194,0.756176,0.7363617,0.7981548,0.76799077,0.78821796,0.7686182,0.8024725,0.74078804,0.7526111,0.7574976,0.8362566,0.8608524,0.7938839,0.8208843,0.81406695,0.7899752,0.6803116,0.83290267,0.7319474,0.75530076,0.8608524,0.8145462,0.83290267,0.8608524,0.8608524,0.8301846,0.7786983,0.78309196,0.83290267,0.8215854,0.0,0.8164864,0.8281342,0.80014515
Mount Vernon(New York),0.0,0.8476206,1.0,0.89154136,0.8286164,0.90657896,0.0,0.84016454,0.96666664,0.8488614,1.0,0.9590909,0.9202554,1.0,0.875,0.96753246,0.9590909,0.0,0.8393008,0.8798759,0.91811514,0.0,0.825,0.8627534,0.842556,0.9714286,0.9027778,1.0,0.7191532,0.8405559,0.9245614,0.88860625,0.8699003,0.8924822,1.0,0.8608524,0.0,0.9714286,0.96753246,0.9614035,0.8929648,1.0,0.9576073,0.9714286,0.7304478,0.84451807,0.86277705,0.8553866,0.85097826,0.8921283,0.915625,0.89285713,0.81300145,0.8605285,0.73807377,0.87993896,0.9714286,1.0,0.9222068,0.95357144,0.9456522,0.91766626,0.7902767,0.96753246,0.8502589,0.87738705,1.0,0.9462089,0.96753246,1.0,1.0,0.964375,0.9045666,0.9096704,0.96753246,0.95438594,0.0,0.9286834,0.9619932,0.8488614
Salisbury(Maryland),0.0,0.8484244,0.9714286,0.8660688,0.80494165,0.8806767,0.0,0.81615984,0.9390476,0.8246082,0.9714286,0.9316883,0.8939624,0.9714286,0.85,0.93988866,0.9316883,0.0,0.8375,0.85473657,0.8918833,0.0,0.80142856,0.8381033,0.818483,1.0,0.8769841,0.9714286,0.698606,0.81654006,0.8981453,0.8632175,0.87833333,0.86698276,0.9714286,0.8362566,0.9714286,0.0,0.93988866,0.9339348,0.86745155,0.9714286,0.9302471,1.0,0.7095779,0.820389,0.8381263,0.830947,0.82666457,0.9183673,0.88946426,0.9117647,0.78977287,0.8613445,0.71698594,0.8547979,1.0,0.9714286,0.89585805,0.9263265,0.9186336,0.89144725,0.7676974,0.93988866,0.82596576,0.8523188,0.9714286,0.9191744,0.93988866,0.9714286,0.9714286,0.93682146,0.9311715,0.9154527,0.93988866,0.92711776,0.0,0.9021496,0.9345077,0.8246082
Fall River(Massachusetts),0.0,0.8673063,0.96753246,0.9122471,0.80365855,0.8771446,0.0,0.8128865,0.93528134,0.86072296,0.96753246,0.9279516,0.890377,0.96753246,0.8465909,1.0,0.9279516,0.0,0.8366593,0.85130847,0.8883062,0.0,0.79821426,0.8347419,0.81520027,0.93988866,0.8734668,0.96753246,0.7164744,0.81326514,0.946034,0.9092438,0.8742857,0.86350554,0.96753246,0.83290267,0.96753246,0.93988866,0.0,0.9301891,0.8639724,0.96753246,0.9265162,0.93988866,0.72358555,0.8170986,0.8917293,0.8840909,0.8628693,0.86316305,0.88589686,0.86386824,0.8402834,0.880514,0.74683255,0.9003753,0.93988866,0.96753246,0.94362473,0.9226113,0.9149492,0.88787186,0.76461834,1.0,0.82265306,0.84890044,0.96753246,0.9154878,1.0,0.96753246,0.96753246,0.9330641,0.8751975,0.88013566,1.0,0.97655123,0.0,0.8985313,0.93075967,0.86072296
Yonkers(New York),0.0,0.8149054,0.9614035,0.857131,0.7966347,0.8715882,0.0,0.8077371,0.9293567,0.81609833,0.9614035,0.9220733,0.8847368,0.9614035,0.84122807,0.9301891,0.9220733,0.0,0.8069067,0.84591573,0.88267916,0.0,0.7931579,0.8294541,0.8100363,0.9339348,0.8679337,0.9614035,0.6913964,0.80811346,0.88887656,0.85430914,0.83632517,0.8580355,0.9614035,0.8276265,0.9614035,0.9339348,0.9301891,0.0,0.8584994,0.9614035,0.920647,0.9339348,0.7438078,0.81192255,0.8294769,0.8223717,0.8181335,0.8576952,0.880285,0.858396,0.7816224,0.8273151,0.7677045,0.8459764,0.9339348,0.9614035,0.88661283,0.9167669,0.9091533,0.88224757,0.7597748,0.9301891,0.8174419,0.84352297,0.9614035,0.9841954,0.9301891,0.9614035,0.9614035,0.9271535,0.86965346,0.87726086,0.9301891,0.91754997,0.0,0.89283943,0.92486364,0.81609833
Worcester(Massachusetts),0.0,0.75689536,0.8929648,0.79611504,0.7399252,0.82678497,0.0,0.75023735,0.86319923,0.85316026,0.8929648,0.8564344,0.8217557,0.8929648,0.7813442,0.8639724,0.8564344,0.0,0.78515476,0.7856982,0.8198445,0.0,0.7366959,0.7704084,0.75237286,0.86745155,0.80614877,0.8929648,0.6421785,0.75545454,0.82560074,0.7934941,0.7767903,0.79695517,0.8929648,0.78508306,0.8929648,0.86745155,0.8639724,0.8584994,0.0,0.8929648,0.85510963,0.86745155,0.65226424,0.8743955,0.7704295,0.7638301,0.85528785,0.79663914,0.8176209,0.79728997,0.73069596,0.7684217,0.6590739,0.78575456,0.86745155,0.8929648,0.8234982,0.8515057,0.8444341,0.81944364,0.76476204,0.8639724,0.75925124,0.78347576,0.8929648,0.84493124,0.8639724,0.8929648,0.8929648,0.86115295,0.8077461,0.81230366,0.8639724,0.85223305,0.0,0.96153843,0.8590261,0.85316026
Trenton(New Jersey),0.0,0.8476206,1.0,0.89154136,0.8286164,0.90657896,0.0,0.84016454,0.96666664,0.8488614,1.0,0.9590909,0.9202554,1.0,0.875,0.96753246,0.9590909,0.0,0.8393008,0.8798759,0.91811514,0.0,0.825,0.8627534,0.842556,0.9714286,0.9027778,1.0,0.7191532,0.8405559,0.9245614,0.88860625,0.8699003,0.8924822,1.0,0.8608524,1.0,0.9714286,0.96753246,0.9614035,0.8929648,0.0,0.9576073,0.9714286,0.7304478,0.84451807,0.86277705,0.8553866,0.85097826,0.8921283,0.915625,0.89285713,0.81300145,0.8605285,0.73807377,0.87993896,0.9714286,1.0,0.9222068,0.95357144,0.9456522,0.91766626,0.7902767,0.96753246,0.8502589,0.87738705,1.0,0.9462089,0.96753246,1.0,1.0,0.964375,0.9045666,0.9096704,0.96753246,0.95438594,0.0,0.9286834,0.9619932,0.8488614
Erie(Pennsylvania),0.0,0.8116877,0.9576073,0.85374653,0.7934891,0.86814666,0.0,0.8045477,0.9256871,0.81287587,0.9576073,0.9184325,0.88124335,0.9576073,0.8379064,0.9265162,0.9184325,0.0,0.8037206,0.8425756,0.87919384,0.0,0.790026,0.82617897,0.8068378,0.9302471,0.8645066,0.9576073,0.6886664,0.8049225,0.88536674,0.8509358,0.8330229,0.8546475,0.9576073,0.8243586,0.9576073,0.9302471,0.9265162,0.920647,0.85510963,0.9576073,0.0,0.9302471,0.6994822,0.8087167,0.8262016,0.8191245,0.814903,0.8543086,0.8768092,0.8550065,0.77853614,0.8240484,0.70678484,0.842636,0.9302471,0.9576073,0.883112,0.913147,0.9055635,0.8787639,0.7567748,0.9265162,0.8878993,0.84019226,0.9576073,0.9060966,0.9265162,0.9576073,0.9576073,0.9234926,0.8662196,0.87110704,0.9265162,0.91392696,0.0,0.88931406,0.9212118,0.81287587
Springfield(Massachusetts),0.0,0.8484244,0.9714286,0.8660688,0.80494165,0.8806767,0.0,0.81615984,0.9390476,0.8246082,0.9714286,0.9316883,0.8939624,0.9714286,0.85,0.93988866,0.9316883,0.0,0.8375,0.85473657,0.8918833,0.0,0.80142856,0.8381033,0.818483,1.0,0.8769841,0.9714286,0.698606,0.81654006,0.8981453,0.8632175,0.87833333,0.86698276,0.9714286,0.8362566,0.9714286,1.0,0.93988866,0.9339348,0.86745155,0.9714286,0.9302471,0.0,0.7095779,0.820389,0.8381263,0.830947,0.82666457,0.9183673,0.88946426,0.9117647,0.78977287,0.8613445,0.71698594,0.8547979,1.0,0.9714286,0.89585805,0.9263265,0.9186336,0.89144725,0.7676974,0.93988866,0.82596576,0.8523188,0.9714286,0.9191744,0.93988866,0.9714286,0.9714286,0.93682146,0.9311715,0.9154527,0.93988866,0.92711776,0.0,0.9021496,0.9345077,0.8246082
Stamford(Connecticut),0.0,0.77413243,0.7304478,0.69216925,0.605261,0.6924052,0.0,0.61369634,0.70609957,0.6994466,0.7304478,0.7005659,0.6721986,0.7304478,0.63914186,0.72358555,0.7005659,0.0,0.6436936,0.6771367,0.6706352,0.0,0.6631993,0.63019633,0.7520172,0.7095779,0.66053694,0.7304478,0.63950425,0.70525074,0.71780515,0.6898905,0.63541675,0.7488184,0.7304478,0.7291842,0.7304478,0.7095779,0.72358555,0.7438078,0.65226424,0.7304478,0.6994822,0.7095779,0.0,0.6567742,0.74004567,0.6417735,0.7011908,0.6516532,0.66881627,0.65218556,0.6973507,0.7859213,0.96887255,0.8036488,0.7095779,0.7304478,0.7668149,0.6965342,0.6907496,0.76994854,0.5772559,0.72358555,0.6505624,0.65085256,0.7304478,0.73205227,0.72358555,0.7304478,0.7304478,0.70442563,0.6607387,0.69929963,0.72358555,0.7409601,0.0,0.6783548,0.70268583,0.6994466
Rockville(Maryland),0.0,0.76254785,0.84451807,0.78185976,0.6997815,0.8340081,0.0,0.7776712,0.8163674,0.9095569,0.84451807,0.8099696,0.7771723,0.84451807,0.7389533,0.8170986,0.8099696,0.0,0.83705604,0.8606052,0.7753648,0.0,0.69672734,0.8125989,0.73798144,0.820389,0.76241213,0.84451807,0.6299343,0.74628353,0.81081754,0.7792858,0.7346465,0.79238594,0.84451807,0.79194194,0.84451807,0.820389,0.8170986,0.81192255,0.8743955,0.84451807,0.8087167,0.820389,0.6567742,0.0,0.7289711,0.75144804,0.9072944,0.75341845,0.7732618,0.754034,0.7048186,0.77416027,0.6566257,0.7916225,0.820389,0.84451807,0.8296481,0.8053083,0.79862034,0.77498573,0.72327083,0.8170986,0.71805894,0.74096924,0.84451807,0.7990905,0.8170986,0.84451807,0.84451807,0.8144321,0.7639228,0.789713,0.8170986,0.8059961,0.0,0.9093713,0.81242067,0.9095569
New Rochelle(New York),0.0,0.9559677,0.86277705,0.8145445,0.7166459,0.7963424,0.0,0.7248747,0.8340178,0.8014574,0.86277705,0.8274816,0.79397523,0.86277705,0.7549299,0.8917293,0.8274816,0.0,0.8032573,0.77589375,0.79212874,0.0,0.71179104,0.77978766,0.76353014,0.8381263,0.81568986,0.86277705,0.73277277,0.80810803,0.8447128,0.8118629,0.7796262,0.8580298,0.86277705,0.756176,0.86277705,0.8381263,0.8917293,0.8294769,0.7704295,0.86277705,0.8262016,0.8381263,0.74004567,0.7289711,0.0,0.7883698,0.803456,0.7697078,0.78998023,0.7703366,0.9423077,0.9416282,0.7638215,0.920857,0.8381263,0.86277705,0.878651,0.8227196,0.81588703,0.88224167,0.6818326,0.8917293,0.7666574,0.76096106,0.86277705,0.8163673,0.8917293,0.86277705,0.86277705,0.83204067,0.7804393,0.86355746,0.8917293,0.87081933,0.0,0.8012467,0.8299857,0.8014574
Annapolis(Maryland),0.0,0.76677763,0.8553866,0.8065094,0.7105072,0.77547556,0.0,0.71866554,0.8268737,0.8261693,0.8553866,0.82039356,0.78717417,0.8553866,0.7484633,0.8840909,0.82039356,0.0,0.89772725,0.75263405,0.7853434,0.0,0.70569396,0.8714974,0.7207111,0.830947,0.77222407,0.8553866,0.6334285,0.751438,0.83638006,0.8260621,0.772948,0.76341736,0.8553866,0.7363617,0.8553866,0.830947,0.8840909,0.8223717,0.7638301,0.8553866,0.8191245,0.830947,0.6417735,0.75144804,0.7883698,0.0,0.8241142,0.76311463,0.7832134,0.76373804,0.7428869,0.7784544,0.6602679,0.7960136,0.830947,0.8553866,0.83425003,0.8156723,0.80889827,0.78495944,0.67599213,0.8840909,0.7273001,0.75050515,0.8553866,0.80937445,0.8840909,0.8553866,0.8553866,0.8249135,0.7737542,0.7781199,0.8840909,0.86336005,0.0,0.79438335,0.82287616,0.8261693
York(Pennsylvania),0.0,0.8404635,0.85097826,0.8254057,0.72480077,0.84055096,0.0,0.85287315,0.8226123,0.99751246,0.85097826,0.8333333,0.7855844,0.85097826,0.74460596,0.8628693,0.8333333,0.0,0.91800064,0.80747956,0.7812961,0.0,0.70205706,0.8911784,0.80934536,0.82666457,0.76824427,0.85097826,0.6942998,0.8184503,0.8559762,0.844717,0.7543943,0.86901087,0.85097826,0.7981548,0.85097826,0.82666457,0.8628693,0.8181335,0.85528785,0.85097826,0.814903,0.82666457,0.7011908,0.9072944,0.803456,0.8241142,0.0,0.7591818,0.77917695,0.759802,0.7571028,0.8532625,0.7237184,0.872509,0.82666457,0.85097826,0.91441995,0.81146854,0.82151866,0.8451621,0.7074656,0.8628693,0.7421114,0.7669946,0.85097826,0.8052032,0.8628693,0.85097826,0.85097826,0.8206622,0.7697665,0.8704044,0.8628693,0.8835884,0.0,0.88949937,0.8639264,0.99751246
Binghamton(New York),0.0,0.7791652,0.8921283,0.79536927,0.7392321,0.8087847,0.0,0.7495346,0.86239064,0.7572933,0.8921283,0.8556321,0.8209859,0.8921283,0.78061223,0.86316305,0.8556321,0.0,0.7691326,0.7849622,0.81907654,0.0,0.73600584,0.7696867,0.75166804,0.9183673,0.8053936,0.8921283,0.64157695,0.7498838,0.8248274,0.7927508,0.80663264,0.7962086,0.8921283,0.76799077,0.8921283,0.9183673,0.86316305,0.8576952,0.79663914,0.8921283,0.8543086,0.9183673,0.6516532,0.75341845,0.7697078,0.76311463,0.7591818,0.0,0.81685495,0.8373349,0.7253016,0.79103065,0.6584565,0.7850185,0.9183673,0.8921283,0.8227268,0.85070807,0.84364307,0.81867605,0.7050282,0.86316305,0.75854003,0.7827418,0.8921283,0.8441397,0.86316305,0.8921283,0.8921283,0.86034626,0.85515743,0.84072185,0.86316305,0.8514347,0.0,0.82850474,0.85822135,0.7572933
Lancaster(Pennsylvania),0.0,0.7761026,0.915625,0.82294637,0.75870186,0.83008635,0.0,0.76927567,0.8851041,0.77723867,0.915625,0.87816757,0.84260887,0.915625,0.80117184,0.88589686,0.87816757,0.0,0.7684848,0.80563635,0.8406492,0.0,0.7553906,0.78995854,0.7714653,0.88946426,0.8266059,0.915625,0.6584747,0.769634,0.8465515,0.81363004,0.7965024,0.817179,0.915625,0.78821796,0.915625,0.88946426,0.88589686,0.880285,0.8176209,0.915625,0.8768092,0.88946426,0.66881627,0.7732618,0.78998023,0.7832134,0.77917695,0.81685495,0.0,0.8175223,0.74440444,0.78792137,0.6757988,0.8056941,0.88946426,0.915625,0.8443956,0.8731138,0.8658628,0.84023815,0.7235971,0.88589686,0.77851826,0.8033575,0.915625,0.8663725,0.88589686,0.915625,0.915625,0.88300586,0.82824373,0.832917,0.88589686,0.8738596,0.0,0.8503257,0.88082504,0.77723867
Buffalo(New York),0.0,0.7735634,0.89285713,0.7960191,0.73983604,0.8094455,0.0,0.7501469,0.8630952,0.757912,0.89285713,0.85633117,0.82165664,0.89285713,0.78125,0.86386824,0.85633117,0.0,0.7636029,0.78560346,0.81974566,0.0,0.73660713,0.7703155,0.75228214,0.9117647,0.8060516,0.89285713,0.6421011,0.7504964,0.8255012,0.79339844,0.8008333,0.79685915,0.89285713,0.7686182,0.89285713,0.9117647,0.86386824,0.858396,0.79728997,0.89285713,0.8550065,0.9117647,0.65218556,0.754034,0.7703366,0.76373804,0.759802,0.8373349,0.8175223,0.0,0.72589415,0.7853435,0.65899444,0.7856598,0.9117647,0.89285713,0.82339895,0.85140306,0.8443323,0.8193449,0.7056042,0.86386824,0.7591597,0.7833813,0.89285713,0.8448294,0.86386824,0.89285713,0.89285713,0.8610491,0.8490093,0.83467746,0.86386824,0.8521303,0.0,0.8291816,0.8589225,0.757912
